,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,Time_diff
0,2,0.000267,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34144; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4144,Read,Holding,Registers,0.000539
1,3,0.000806,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34144; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4144,Read,Holding,Registers,0.00023899999999999995
2,4,0.001045,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34145; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4145,Write,Multiple,Registers,0.0004760000000000001
3,5,0.001521,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34145; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4145,Write,Multiple,Registers,0.099929
4,6,0.10145,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34146; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4146,Read,Discrete,Inputs,0.0008070000000000022
5,7,0.102257,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34146; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4146,Read,Discrete,Inputs,0.0006690000000000029
6,8,0.102926,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34147; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4147,Write,Multiple,Coils,0.0005710000000000021
7,9,0.103497,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34147; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4147,Write,Multiple,Coils,0.00030899999999998984
8,10,0.103806,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34148; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4148,Read,Input,Registers,0.0004090000000000066
9,11,0.104215,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34148; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4148,Read,Input,Registers,0.0003399999999999931
