,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
0,1,0.0,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26096; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6096.0,Read,Discrete,Inputs,,
1,2,0.000716,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26096; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6096.0,Read,Discrete,Inputs,0.000716,
2,3,0.000925,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26097; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6097.0,Write,Multiple,Coils,0.0002090000000000001,
3,4,0.001372,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26097; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6097.0,Write,Multiple,Coils,0.0004469999999999999,
4,5,0.00154,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26098; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6098.0,Read,Input,Registers,0.00016799999999999996,0.0005839999999999999
5,6,0.001956,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26098; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6098.0,Read,Input,Registers,0.0004159999999999999,
6,7,0.002109,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26099; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6099.0,Read,Holding,Registers,0.00015300000000000036,0.0005370000000000002
7,8,0.002493,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26099; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6099.0,Read,Holding,Registers,0.0003839999999999998,
8,9,0.002673,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26100; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6100.0,Write,Multiple,Registers,0.00018000000000000004,0.0005730000000000002
9,10,0.003066,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26100; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6100.0,Write,Multiple,Registers,0.0003930000000000001,
10,11,0.103153,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26101; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6101.0,Read,Discrete,Inputs,0.100087,0.100705
11,12,0.103771,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26101; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6101.0,Read,Discrete,Inputs,0.0006180000000000074,
12,13,0.104408,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26102; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6102.0,Write,Multiple,Coils,0.0006369999999999987,0.001008999999999996
13,14,0.10478,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26102; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6102.0,Write,Multiple,Coils,0.00037199999999999733,
14,15,0.105224,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26103; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6103.0,Read,Input,Registers,0.00044399999999999995,0.0008039999999999992
