,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
0,1,0.0,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41836; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1836.0,Read,Discrete,Inputs,,
1,2,0.00065,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41836; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1836.0,Read,Discrete,Inputs,0.00065,
2,3,0.000881,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41837; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1837.0,Write,Multiple,Coils,0.00023099999999999998,
3,4,0.001381,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41837; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1837.0,Write,Multiple,Coils,0.0005000000000000001,
4,5,0.001559,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41838; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1838.0,Read,Input,Registers,0.000178,0.0005579999999999999
5,6,0.001939,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41838; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1838.0,Read,Input,Registers,0.0003799999999999999,
6,7,0.002147,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41839; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,1839.0,Read,Holding,Registers,0.00020800000000000007,0.0006709999999999999
7,8,0.00261,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41839; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,1839.0,Read,Holding,Registers,0.00046299999999999987,
8,9,0.002793,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 41840; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,1840.0,Write,Multiple,Registers,0.000183,0.0008370000000000001
9,10,0.003447,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41840; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,1840.0,Write,Multiple,Registers,0.0006540000000000001,
10,11,0.103143,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41841; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1841.0,Read,Discrete,Inputs,0.09969599999999999,0.10034399999999999
11,12,0.103791,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41841; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1841.0,Read,Discrete,Inputs,0.0006479999999999958,
12,13,0.104154,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41842; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1842.0,Write,Multiple,Coils,0.0003630000000000022,0.0006929999999999992
13,14,0.104484,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41842; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1842.0,Write,Multiple,Coils,0.00032999999999999696,
14,15,0.104805,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41843; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1843.0,Read,Input,Registers,0.00032100000000000184,0.00068
15,16,0.105164,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41843; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1843.0,Read,Input,Registers,0.0003589999999999982,
